order,state,substate_region,small_area_estimate,95_ci_lower,95_ci_upper,map_group
162,Kentucky,"Kentucky River, Mountain, and Pathways",0.071594152,0.0556190014,0.091712159,4
163,Kentucky,Seven Counties,0.0680102417,0.0534535627,0.0861701711,4
164,Louisiana,Louisiana,0.0643676592,0.0550657932,0.0751159146,3
165,Louisiana,Regions 1 and 10,0.0633461664,0.0513567442,0.0779047055,5
166,Louisiana,Region 1,0.0617346639,0.0477103829,0.0795370183,4
167,Louisiana,Region 10 (Jefferson),0.065030302,0.0503080773,0.0836812339,4
168,Louisiana,Regions 2 and 9,0.0652548967,0.0527189162,0.0805184193,4
169,Louisiana,Region 3,0.0625372838,0.0486434988,0.0800654984,4
170,Louisiana,"Regions 4, 5, and 6",0.0679476066,0.053911404,0.0853087118,4
171,Louisiana,Regions 7 and 8,0.0603352116,0.0474077243,0.076504748,4
172,Maine,Maine,0.0799115541,0.0689324791,0.0924656351,3
173,Maine,Aroostook/Downeast,0.07643744,0.0622149493,0.0935867623,5
174,Maine,Aroostook,0.0746837674,0.0581538322,0.0954361552,4
175,Maine,Downeast,0.0778514177,0.0601567942,0.1001958967,4
176,Maine,Central,0.0866303312,0.0684449812,0.1090816244,4
177,Maine,Cumberland,0.0790463669,0.0627672703,0.0991011169,4
178,Maine,Midcoast,0.076875343,0.0597841078,0.098341606,4
179,Maine,Penquis,0.0833680389,0.0666255869,0.1038496209,4
180,Maine,Western,0.0796805131,0.0631464506,0.1000813227,4
181,Maine,York,0.0775888307,0.0607041969,0.0986764854,4
182,Maryland,Maryland,0.0631703508,0.0540352897,0.0737293928,3
183,Maryland,Anne Arundel,0.0676130285,0.0526484684,0.0864429318,4
184,Maryland,Baltimore City,0.0606354084,0.0480723063,0.0762188418,4
185,Maryland,Baltimore County,0.0633121453,0.0496981278,0.0803402224,4
186,Maryland,Montgomery,0.059471937,0.0461553644,0.0763231307,4
187,Maryland,North Central,0.0651954748,0.0503949752,0.0839584183,4
188,Maryland,Northeast,0.0688044073,0.0535213695,0.0880455546,4
189,Maryland,Prince George's,0.0588640026,0.0459647372,0.0750982884,4
190,Maryland,South,0.0638683194,0.0503861276,0.0806516508,4
191,Maryland,West,0.0678880686,0.0533568491,0.0860171304,4
192,Massachusetts,Massachusetts,0.0686467086,0.0590476937,0.0796740459,3
193,Massachusetts,Boston,0.0717229655,0.0573197978,0.0894020857,4
194,Massachusetts,Central,0.0679451717,0.0535445743,0.0858673746,4
195,Massachusetts,Metrowest,0.0686214627,0.0548801399,0.0854922163,4
196,Massachusetts,Northeast,0.0686326139,0.054510716,0.0860799409,4
197,Massachusetts,Southeast,0.0675036126,0.0533862973,0.0850187824,4
198,Massachusetts,Western,0.0680429492,0.0536174022,0.0859969563,4
199,Michigan,Michigan,0.0698749145,0.0634408398,0.0769079388,3
200,Michigan,Region 1,0.0744087435,0.0595478801,0.092613085,4
201,Michigan,Region 2,0.0671508822,0.0531241007,0.0845505567,4
202,Michigan,Region 3,0.0707042109,0.0589376477,0.0846086966,4
203,Michigan,Region 4,0.0774846914,0.0634916561,0.0942513036,4
204,Michigan,Region 5,0.0715449469,0.060162047,0.0848870138,4
205,Michigan,Region 6,0.0701603606,0.0581683381,0.0844031103,4
206,Michigan,Region 7,0.0663790682,0.0548051713,0.0801898054,4
207,Michigan,Region 8,0.0684483989,0.0558340214,0.0836601727,4
208,Michigan,Region 9,0.0686204176,0.0559380096,0.0839226052,4
209,Michigan,Region 10,0.0677080928,0.0551692909,0.0828468137,4
210,Minnesota,Minnesota,0.0695115105,0.0594292763,0.0811566193,3
211,Minnesota,Regions 1 and 2,0.0691157325,0.0541661346,0.0878083022,4
212,Minnesota,Regions 3 and 4,0.0720019369,0.0569759475,0.0906099008,4
213,Minnesota,Regions 5 and 6,0.0723567763,0.0570164873,0.09142422,4
214,Minnesota,Region 7A (Hennepin),0.0685621889,0.0543077747,0.0862169274,4
215,Minnesota,Region 7B (Ramsey),0.0687330434,0.0537630869,0.0874858946,4
216,Minnesota,Region 7C,0.0666375905,0.0531333176,0.0832722394,4
217,Mississippi,Mississippi,0.0702079049,0.059867164,0.0821786529,3
218,Mississippi,Region 1,0.0765281194,0.0605140038,0.0963455268,4
219,Mississippi,Region 2,0.0632527071,0.0493596518,0.0807241273,4
220,Mississippi,Region 3,0.0713705014,0.0560467205,0.0904823687,4
221,Mississippi,Region 4,0.0632781792,0.0493960321,0.0807304045,4
222,Mississippi,Region 5,0.067545592,0.0517209686,0.0877638356,4
223,Mississippi,Region 6,0.0698375689,0.055069381,0.0881965495,4
224,Mississippi,Region 7,0.0748072829,0.0583069334,0.095503525,4
225,Missouri,Missouri,0.0713545298,0.0613366193,0.0828641917,3
226,Missouri,Central,0.0727568565,0.0576106968,0.0914984018,4
227,Missouri,Eastern,0.0693316235,0.0570846406,0.0839720913,5
228,Missouri,Eastern (St. Louis City and County),0.0705069959,0.0557644239,0.0887806358,4
229,Missouri,Eastern (excluding St. Louis),0.067293802,0.0520697993,0.0865624835,4
230,Missouri,Northwest,0.0677850992,0.0554940294,0.0825604927,5
231,Missouri,Northwest (Jackson),0.0655310122,0.0509929303,0.0838476941,4
232,Missouri,Northwest (excluding Jackson),0.0696947742,0.0544888083,0.0887459132,4
233,Missouri,Southeast,0.0748658327,0.0592667966,0.0941595955,4
234,Missouri,Southwest,0.0774764994,0.0607729121,0.0982906563,4
235,Montana,Montana,0.0669457331,0.0571090864,0.0783359115,3
236,Montana,Region 1,0.0627522167,0.0481647995,0.0813799165,4
237,Montana,Region 2,0.0625213349,0.0487631453,0.0798355137,4
238,Montana,Region 3,0.0692528198,0.0548286643,0.0871218618,4
239,Montana,Region 4,0.0657143587,0.0526346008,0.0817639257,4
240,Montana,Region 5,0.0695395218,0.0554949232,0.08681182,4
241,Nebraska,Nebraska,0.0677597724,0.0577510685,0.0793569735,3
242,Nebraska,Regions 1 and 2,0.0660585706,0.0534729675,0.0813517759,5
243,Nebraska,Region 1,0.0665458507,0.0509670152,0.0864528027,4
244,Nebraska,Region 2,0.0656267253,0.0506525299,0.0846330398,4
245,Nebraska,Region 3,0.0665467564,0.0519239288,0.0849188126,4
246,Nebraska,Region 4,0.0655480274,0.0509499696,0.0839586662,4
247,Nebraska,Region 5,0.0706272605,0.0566632749,0.0877125312,4
248,Nebraska,Region 6,0.0673997655,0.0543028686,0.0833769147,4
249,Nevada,Nevada,0.0634109808,0.0532313384,0.0753823201,3
250,Nevada,Clark - Region 1,0.0631437155,0.0516153838,0.0770377508,4
251,Nevada,Region 3,0.0647232421,0.0520060761,0.0802867967,5
252,Nevada,Capital District,0.0656448603,0.05014051,0.0855118316,4
253,Nevada,Rural/Frontier,0.0638785318,0.0493256696,0.0823530774,4
254,Nevada,Washoe - Region 2,0.063603128,0.0499447557,0.0806794579,4
255,New Hampshire,New Hampshire,0.0777589879,0.0670591211,0.0900014115,3
256,New Hampshire,Central,0.0773336886,0.0644355689,0.0925582073,4
257,New Hampshire,Central 1,0.0778107754,0.0622075105,0.0969232543,5
258,New Hampshire,Central 2,0.0768648935,0.0608574588,0.0966494804,5
259,New Hampshire,Northern,0.0796848889,0.0616400675,0.1024355767,4
260,New Hampshire,Southern,0.0775302513,0.0654206271,0.0916615705,4
261,New Hampshire,Southern 1 (Rockingham),0.0793163074,0.0635220416,0.098624115,5
262,New Hampshire,Southern 2,0.0764209008,0.0621866471,0.0935881685,5
263,New Jersey,New Jersey,0.0637703218,0.0541410348,0.0749764752,3
264,New Jersey,Central,0.0675354497,0.0535198157,0.0848922566,4
265,New Jersey,Metropolitan,0.0585547427,0.0462366272,0.0739003073,4
266,New Jersey,Northern,0.0628695917,0.0495939867,0.0794019931,4
267,New Jersey,Southern,0.0670328777,0.0530706883,0.0843411621,4
268,New Mexico,New Mexico,0.0679762723,0.0577986383,0.0797942868,3
269,New Mexico,Region 1,0.0701131343,0.0550924588,0.0888440618,4
270,New Mexico,Region 2,0.0689673868,0.0529266833,0.0894106479,4
271,New Mexico,Region 3 (Bernalillo),0.0677362019,0.0538465364,0.0848872492,4
272,New Mexico,Region 4,0.0679432744,0.0536354886,0.0857220788,4
273,New Mexico,Region 5,0.0654346917,0.0513931617,0.0829770392,4
274,New York,New York,0.0637645415,0.057581577,0.0705617081,3
275,New York,Region A,0.0620309752,0.0546060205,0.0703903541,4
276,New York,Region 1,0.0595527934,0.0478346836,0.0739186496,5
277,New York,Region 2,0.0625486342,0.051779771,0.0753791031,5
278,New York,Region 3,0.0692875112,0.0566889583,0.0844353484,5
279,New York,Region 4,0.0572533439,0.0461239443,0.0708686765,5
280,New York,Region B,0.062717958,0.05430317,0.0723369566,4
281,New York,Region 5,0.061196407,0.0504994205,0.0739827199,5
282,New York,Region 6,0.0645378861,0.0514859371,0.0806173507,5
283,New York,Region 7,0.0649199209,0.0519870401,0.0807959287,5
284,New York,Region C,0.0665085262,0.0585946847,0.0754056033,4
285,New York,Region 8,0.0646317584,0.0517188788,0.0804949823,5
286,New York,Region 9,0.065901941,0.0537370609,0.0805861548,5
287,New York,Region 10,0.0729975276,0.0590092537,0.0899846565,5
288,New York,Region 11,0.0674264785,0.0549661738,0.0824649336,5
289,New York,Region 12,0.0652790683,0.0530501594,0.0800885219,5
290,New York,Region D,0.0683515636,0.0593734048,0.0785739482,4
291,New York,Region 13,0.0683260837,0.0545261893,0.0853034474,5
292,New York,Region 14,0.0687065887,0.0555527906,0.0846956394,5
293,New York,Region 15,0.0680203068,0.0552271868,0.0835149323,5
294,North Carolina,North Carolina,0.0727735105,0.0625974164,0.084454832,3
295,North Carolina,Alliance Behavioral Healthcare 1,0.078788619,0.0617011661,0.1001033946,4
296,North Carolina,Alliance Behavioral Healthcare 2,0.0717379425,0.0559287561,0.0915823546,4
297,North Carolina,Cardinal Innovations Healthcare Solutions 1,0.0706820389,0.0545445662,0.0911337082,4
298,North Carolina,Cardinal Innovations Healthcare Solutions 2,0.0714742039,0.0554780278,0.0916351467,4
299,North Carolina,Cardinal Innovations Healthcare Solutions 3,0.0678634791,0.0532286732,0.0861558525,4
300,North Carolina,CenterPoint Human Services,0.0712410904,0.0552005955,0.0914913518,4
301,North Carolina,Eastpointe,0.0701044742,0.0540153254,0.0905273681,4
302,North Carolina,Partners Behavioral Health Management,0.0741352883,0.0578624997,0.0945253498,4
303,North Carolina,Sandhills Center 1,0.0710036058,0.0540613316,0.0927348978,4
304,North Carolina,Sandhills Center 2,0.0729813138,0.0568528665,0.0932329041,4
305,North Carolina,Smoky Mountain Center 1,0.0754845195,0.0585393651,0.0968302304,4
306,North Carolina,Smoky Mountain Center 2,0.0788510713,0.061155865,0.1011148796,4
307,North Carolina,Trillium Healthcare Resources 1,0.0726521029,0.0569866914,0.09220282,4
308,North Carolina,Trillium Healthcare Resources 2,0.0747581888,0.0582582223,0.0954576136,4
309,North Dakota,North Dakota,0.0602778041,0.0513846366,0.0705955746,3
310,North Dakota,Badlands and West Central,0.055610891,0.0438126368,0.0703525221,4
311,North Dakota,Lake Region,0.0535472619,0.0413347547,0.0691078909,4
312,North Dakota,North Central,0.0612152985,0.048471364,0.0770385532,4
313,North Dakota,Northeast,0.0617786179,0.0489978249,0.0776210999,4
314,North Dakota,Northwest,0.0584011102,0.0447630986,0.0758642312,4
315,North Dakota,South Central,0.0601769442,0.0460398139,0.0782987682,4
316,North Dakota,Southeast,0.0653284286,0.053259739,0.0799010867,4
317,Ohio,Ohio,0.0742622701,0.0675904136,0.0815351164,3
318,Ohio,"Boards 2, 46, 55, and 68",0.0744446332,0.0603367839,0.0915298429,4
319,Ohio,"Boards 3, 52, and 85",0.0764781744,0.0614214029,0.0948529324,4
320,Ohio,Boards 4 and 78,0.0750909834,0.0592766133,0.0946997349,4
321,Ohio,Boards 5 and 60,0.0751396176,0.0604522931,0.0930419619,4
322,Ohio,"Boards 7, 15, 41, 79, and 84",0.076361802,0.0611743365,0.0949384953,4
323,Ohio,"Boards 8, 13, and 83",0.0756136233,0.0610535559,0.0933009459,4
324,Ohio,Board 9 (Butler),0.0754090302,0.0612718984,0.0924866254,4
325,Ohio,Board 12,0.0732650406,0.0593118352,0.0901860575,4
326,Ohio,Boards 18 and 47,0.0745358251,0.0618050361,0.0896383944,4
327,Ohio,"Boards 20, 32, 54, and 69",0.0732910591,0.0589486984,0.0907863044,4
328,Ohio,"Boards 21, 39, 51, 70, and 80",0.0740500222,0.0595943639,0.0916703444,4
329,Ohio,"Boards 22, 74, and 87",0.0741178825,0.0599469044,0.0913133707,4
330,Ohio,Boards 23 and 45,0.0777054875,0.0628308409,0.0957418227,4
331,Ohio,Board 25 (Franklin),0.0722663986,0.0599480431,0.086882035,4
332,Ohio,"Boards 27, 71, and 73",0.0819586682,0.0660037032,0.1013518862,4
333,Ohio,"Boards 28, 43, and 67",0.0739581031,0.0594297567,0.0916918526,4
334,Ohio,Board 31 (Hamilton),0.0687900913,0.0559170795,0.084361857,4
335,Ohio,Board 48 (Lucas),0.0712173899,0.0575357176,0.0878492284,4
336,Ohio,Boards 50 and 76,0.0733423669,0.0595015674,0.0900942939,4
337,Ohio,Board 57 (Montgomery),0.0755647019,0.0611158447,0.0930908279,4
338,Ohio,Board 77 (Summit),0.073964051,0.0598161145,0.0911339455,4
339,Oklahoma,Oklahoma,0.0719408045,0.0613966803,0.0841334357,3
340,Oklahoma,Central,0.0734110685,0.0574713329,0.0933339269,4
341,Oklahoma,East Central,0.0700942442,0.0551668193,0.0886817215,4
342,Oklahoma,Northeast,0.0683842806,0.0533135659,0.0873222349,4
343,Oklahoma,Northwest and Southwest,0.0710239789,0.0553639068,0.0906883596,4
344,Oklahoma,Oklahoma County,0.0696458233,0.0550766684,0.0877111505,4
345,Oklahoma,Southeast,0.0761384037,0.0593426543,0.0971966609,4
346,Oklahoma,Tulsa County,0.07496792,0.0590895578,0.0946837004,4
347,Oregon,Oregon,0.0826949709,0.0705739105,0.0966812687,3
348,Oregon,Region 1 (Multnomah),0.0831021688,0.0660882833,0.1040083358,4
349,Oregon,Region 2,0.0837857657,0.0664780628,0.1050922864,4
350,Oregon,Region 3,0.0860149969,0.0695052597,0.1059995902,4
351,Oregon,Region 4,0.077599625,0.0603054362,0.0993291383,4
352,Oregon,Region 5 (Central),0.0756674195,0.0570563485,0.099707272,4
353,Oregon,Region 6 (Eastern),0.0782181325,0.0599947918,0.1013798043,4
354,Pennsylvania,Pennsylvania,0.0661050947,0.0594901612,0.0733981652,3
355,Pennsylvania,Region 1 (Allegheny),0.0620526976,0.0507583597,0.0756598499,4
356,Pennsylvania,"Regions 3, 8, 9, and 51",0.0705613064,0.0569319628,0.0871519464,4
357,Pennsylvania,"Regions 4, 11, 37, and 49",0.0664278152,0.0536704269,0.0819550014,4
358,Pennsylvania,"Regions 5, 18, 23, 24, and 46",0.0717283035,0.0579503401,0.0884743912,4
359,Pennsylvania,"Regions 6, 12, 16, 31, 35, 45, and 47",0.0684494332,0.0555953362,0.0840111257,4
360,Pennsylvania,"Regions 7, 13, 20, and 33",0.0641322858,0.0535119473,0.0766896234,4
361,Pennsylvania,"Regions 10, 15, 27, 32, 43, and 44",0.0688853041,0.0547018659,0.0864101437,4
362,Pennsylvania,Regions 17 and 21,0.0693395847,0.0552005603,0.0867675737,4
363,Pennsylvania,"Regions 19, 26, 28, and 42",0.0665977175,0.0544456834,0.0812290297,4
364,Pennsylvania,"Regions 22, 38, 40, 41, and 48",0.0595490515,0.04683154,0.0754467526,4
365,Pennsylvania,Regions 29 and 34,0.066157847,0.0528663292,0.0825000043,4
366,Pennsylvania,Regions 30 and 50,0.0638125892,0.0508905704,0.0797400716,4
367,Pennsylvania,Region 36 (Philadelphia),0.0688668522,0.0564600944,0.0837579046,4
368,Rhode Island,Rhode Island,0.0790928043,0.0672528825,0.0928097497,3
369,Rhode Island,Bristol and Newport,0.0755472642,0.0586162182,0.0968655573,4
370,Rhode Island,Kent,0.0750542197,0.0584557727,0.0958857982,4
371,Rhode Island,Providence,0.0811397351,0.0663762722,0.0988392659,4
372,Rhode Island,Washington,0.0781181869,0.0613535221,0.0989806883,4
